Street, House Numbers,Assessed Values, Adjusted Values,Assessed Differences, Discrepancies (%)
Rockyledge Ri NW 1,70,"$561,500.00","$602,179.80","-$40,679.85",-7.24
Rockyledge Ri NW 1,54,"$491,500.00","$538,723.10","-$47,223.08",-9.61
Rockyledge Ri NW 1,42,"$626,000.00","$592,352.80","$33,647.19",5.37
Rockyledge Ri NW 1,50,"$762,000.00","$632,956.00","$129,044.00",16.93
Rockyledge Ri NW 1,58,"$572,000.00","$540,856.10","$31,143.92",5.44
Rockyledge Ri NW 1,38,"$508,000.00","$561,881.40","-$53,881.37",-10.61
Rockyledge Ri NW 1,34,"$588,000.00","$565,233.20","$22,766.77",3.87
Rockyledge Ri NW 2,63,"$539,000.00","$588,869.40","-$49,869.35",-9.25
Rockyledge Ri NW 2,47,"$559,500.00","$582,437.30","-$22,937.28",-4.1
Rockyledge Ri NW 2,67,"$667,000.00","$655,152.40","$11,847.63",1.78
Rockyledge Ri NW 2,31,"$581,000.00","$544,171.90","$36,828.08",6.34
Rockyledge Ri NW 2,27,"$555,000.00","$616,396.40","-$61,396.43",-11.06
Rockyledge Ri NW 2,39,"$641,000.00","$604,131.90","$36,868.11",5.75
Rockyledge Ri NW 2,43,"$543,500.00","$560,524.60","-$17,024.64",-3.13
Rockyledge Ri NW 2,51,"$669,500.00","$628,170.40","$41,329.62",6.17
Rockyledge Ri NW 2,59,"$669,000.00","$659,949.20","$9,050.84",1.35
Rockyledge Ri NW 2,35,"$569,000.00","$542,863.70","$26,136.29",4.59
Rockyledge Ri NW 2,55,"$551,000.00","$561,832.90","-$10,832.86",-1.97
Rockyledge St NW 1,10375,"$724,000.00","$678,520.70","$45,479.28",6.28
Rockyledge St NW 1,10399,"$533,000.00","$654,176.20","-$121,176.23",-22.73
Rockyledge St NW 1,10403,"$584,500.00","$591,685.10","-$7,185.11",-1.23
Rockyledge St NW 1,10367,"$617,000.00","$600,562.90","$16,437.13",2.66
Rockyledge St NW 1,10379,"$730,500.00","$719,927.20","$10,572.84",1.45
Rockyledge St NW 1,10395,"$686,000.00","$703,212.00","-$17,212.00",-2.51
Rockyledge St NW 1,10383,"$678,000.00","$693,293.90","-$15,293.87",-2.26
Rockyledge St NW 1,10371,"$599,000.00","$583,709.00","$15,291.01",2.55
Rockyledge St NW 1,10391,"$579,000.00","$587,939.80","-$8,939.80",-1.54
Rockyledge St NW 1,10387,"$743,000.00","$660,973.30","$82,026.73",11.04
Rockyledge St NW 2,10435,"$648,500.00","$632,589.30","$15,910.68",2.45
Rockyledge St NW 2,10411,"$733,500.00","$729,965.30","$3,534.73",0.48
Rockyledge St NW 2,10407,"$583,500.00","$588,575.70","-$5,075.67",-0.87
Rockyledge St NW 2,10419,"$643,000.00","$652,651.40","-$9,651.36",-1.5
Rockyledge St NW 2,10427,"$679,000.00","$684,655.10","-$5,655.09",-0.83
Rockyledge St NW 2,10423,"$728,000.00","$706,764.30","$21,235.72",2.92
Rockyledge St NW 2,10415,"$670,000.00","$641,528.50","$28,471.47",4.25
Rockyledge St NW 2,10431,"$600,000.00","$608,569.50","-$8,569.47",-1.43
Rockyledge St NW 2,10439,"$645,000.00","$685,201.00","-$40,201.00",-6.23
Rockyledge St NW 3,10435,"$648,500.00","$654,414.90","-$5,914.95",-0.91
Rockyledge St NW 3,10375,"$724,000.00","$657,071.10","$66,928.87",9.24
Rockyledge St NW 3,10411,"$733,500.00","$733,381.10",$118.93,0.02
Rockyledge St NW 3,10399,"$533,000.00","$637,647.80","-$104,647.79",-19.63
Rockyledge St NW 3,10407,"$583,500.00","$618,722.50","-$35,222.48",-6.04
Rockyledge St NW 3,10419,"$643,000.00","$670,684.10","-$27,684.07",-4.31
Rockyledge St NW 3,10403,"$584,500.00","$587,789.00","-$3,289.01",-0.56
Rockyledge St NW 3,10367,"$617,000.00","$594,872.20","$22,127.83",3.59
Rockyledge St NW 3,10379,"$730,500.00","$690,107.40","$40,392.58",5.53
Rockyledge St NW 3,10427,"$679,000.00","$696,637.20","-$17,637.20",-2.6
Rockyledge St NW 3,10423,"$728,000.00","$714,566.40","$13,433.56",1.85
Rockyledge St NW 3,10395,"$686,000.00","$676,771.20","$9,228.84",1.35
Rockyledge St NW 3,10383,"$678,000.00","$668,857.90","$9,142.05",1.35
Rockyledge St NW 3,10371,"$599,000.00","$581,425.20","$17,574.76",2.93
Rockyledge St NW 3,10415,"$670,000.00","$661,664.10","$8,335.88",1.24
Rockyledge St NW 3,10391,"$579,000.00","$584,800.80","-$5,800.80",-1
Rockyledge St NW 3,10431,"$600,000.00","$634,936.30","-$34,936.27",-5.82
Rockyledge St NW 3,10387,"$743,000.00","$643,070.80","$99,929.17",13.45
Rockyledge St NW 3,10439,"$645,000.00","$697,079.90","-$52,079.90",-8.07
Rocky Ridge Dr NW 1,528,"$454,500.00","$447,422.80","$7,077.22",1.56
Rocky Ridge Dr NW 1,532,"$548,500.00","$568,628.80","-$20,128.82",-3.67
Rocky Ridge Dr NW 1,500,"$519,000.00","$532,637.70","-$13,637.73",-2.63
Rocky Ridge Dr NW 1,508,"$561,000.00","$548,856.90","$12,143.11",2.16
Rocky Ridge Dr NW 1,524,"$522,000.00","$503,031.30","$18,968.67",3.63
Rocky Ridge Dr NW 1,504,"$594,000.00","$562,707.50","$31,292.46",5.27
Rocky Ridge Dr NW 1,512,"$523,500.00","$542,008.80","-$18,508.80",-3.54
Rocky Ridge Dr NW 1,520,"$583,500.00","$550,710.50","$32,789.49",5.62
Rocky Ridge Dr NW 1,516,"$476,000.00","$525,995.60","-$49,995.60",-10.5
Rocky Ridge Dr NW 2,492,"$514,000.00","$503,346.70","$10,653.27",2.07
Rocky Ridge Dr NW 2,468,"$534,500.00","$536,167.70","-$1,667.75",-0.31
Rocky Ridge Dr NW 2,476,"$563,500.00","$504,992.50","$58,507.48",10.38
Rocky Ridge Dr NW 2,484,"$486,000.00","$498,555.80","-$12,555.84",-2.58
Rocky Ridge Dr NW 2,472,"$480,000.00","$503,501.80","-$23,501.83",-4.9
Rocky Ridge Dr NW 2,488,"$533,000.00","$500,985.80","$32,014.25",6.01
Rocky Ridge Dr NW 2,494,"$507,000.00","$495,634.80","$11,365.22",2.24
Rocky Ridge Dr NW 2,480,"$472,000.00","$503,889.60","-$31,889.58",-6.76
Rocky Ridge Dr NW 2,498,"$458,500.00","$501,425.20","-$42,925.21",-9.36
Rocky Ridge Dr NW 3,531,"$818,500.00","$809,363.10","$9,136.87",1.12
Rocky Ridge Dr NW 3,495,"$779,500.00","$759,327.60","$20,172.36",2.59
Rocky Ridge Dr NW 3,527,"$683,000.00","$678,190.50","$4,809.47",0.7
Rocky Ridge Dr NW 3,503,"$691,000.00","$742,440.70","-$51,440.66",-7.44
Rocky Ridge Dr NW 3,511,"$714,500.00","$735,049.10","-$20,549.05",-2.88
Rocky Ridge Dr NW 3,515,"$688,000.00","$695,020.70","-$7,020.66",-1.02
Rocky Ridge Dr NW 3,519,"$696,000.00","$685,411.60","$10,588.44",1.52
Rocky Ridge Dr NW 3,507,"$745,500.00","$724,416.50","$21,083.49",2.83
Rocky Ridge Dr NW 3,523,"$815,500.00","$781,445.60","$34,054.40",4.18
Rocky Ridge Dr NW 3,499,"$797,000.00","$815,390.10","-$18,390.14",-2.31
Rocky Ridge Dr NW 3,491,"$793,500.00","$795,944.50","-$2,444.52",-0.31
Rocky Ridge Dr NW 4,483,"$808,000.00","$798,090.20","$9,909.83",1.23
Rocky Ridge Dr NW 4,467,"$792,000.00","$832,662.70","-$40,662.72",-5.13
Rocky Ridge Dr NW 4,479,"$697,500.00","$677,519.60","$19,980.38",2.86
Rocky Ridge Dr NW 4,471,"$701,500.00","$747,627.70","-$46,127.74",-6.58
Rocky Ridge Dr NW 4,443,"$799,500.00","$932,239.40","-$132,739.35",-16.6
Rocky Ridge Dr NW 4,487,"$817,000.00","$732,508.30","$84,491.73",10.34
Rocky Ridge Dr NW 4,451,"$1,110,000.00","$927,905.70","$182,094.26",16.4
Rocky Ridge Dr NW 4,463,"$752,000.00","$801,846.00","-$49,845.96",-6.63
Rocky Ridge Dr NW 4,459,"$794,500.00","$825,921.60","-$31,421.55",-3.95
Rocky Ridge Dr NW 4,475,"$754,500.00","$752,924.40","$1,575.64",0.21
Rocky Ridge Dr NW 4,447,"$761,000.00","$801,653.40","-$40,653.36",-5.34
Rocky Ridge Dr NW 4,455,"$898,500.00","$855,101.20","$43,398.84",4.83
Rocky Ridge Vw  NW,630,"$743,500.00","$671,132.80","$72,367.20",9.73
Rocky Ridge Vw  NW,638,"$645,500.00","$594,587.30","$50,912.69",7.89
Rocky Ridge Vw  NW,626,"$605,500.00","$598,784.10","$6,715.86",1.11
Rocky Ridge Vw  NW,622,"$572,000.00","$589,551.10","-$17,551.12",-3.07
Rocky Ridge Vw  NW,618,"$572,500.00","$666,493.00","-$93,992.97",-16.42
Rocky Ridge Vw  NW,610,"$542,000.00","$547,559.50","-$5,559.52",-1.03
Rocky Ridge Vw  NW,606,"$586,000.00","$581,437.30","$4,562.75",0.78
Rocky Ridge Vw  NW,614,"$611,500.00","$610,138.90","$1,361.11",0.22
Rocky Ridge Vw  NW,634,"$529,000.00","$547,816.00","-$18,815.99",-3.56
Rockyvale Gr NW 1,27,"$1,140,000.00","$1,063,984.00","$76,015.91",6.67
Rockyvale Gr NW 1,13,"$1,130,000.00","$1,065,557.00","$64,443.17",5.7
Rockyvale Gr NW 1,17,"$1,000,000.00","$1,064,325.00","-$64,325.27",-6.43
Rockyvale Gr NW 1,53,"$1,160,000.00","$1,075,551.00","$84,449.22",7.28
Rockyvale Gr NW 1,37,"$1,070,000.00","$1,078,072.00","-$8,072.15",-0.75
Rockyvale Gr NW 1,41,"$1,110,000.00","$1,076,591.00","$33,409.05",3.01
Rockyvale Gr NW 1,5,"$944,000.00","$1,049,954.00","-$105,954.28",-11.22
Rockyvale Gr NW 1,25,"$1,070,000.00","$1,077,040.00","-$7,040.30",-0.66
Rockyvale Gr NW 1,33,"$1,080,000.00","$1,076,899.00","$3,101.16",0.29
Rockyvale Gr NW 1,9,"$1,060,000.00","$1,068,053.00","-$8,053.23",-0.76
Rockyvale Gr NW 1,61,"$1,160,000.00","$1,058,367.00","$101,632.83",8.76
Rockyvale Gr NW 1,45,"$1,030,000.00","$1,068,353.00","-$38,352.80",-3.72
Rockyvale Gr NW 1,57,"$950,500.00","$1,079,562.00","-$129,061.67",-13.58
Rockyvale Gr NW 1,49,"$1,090,000.00","$1,076,433.00","$13,567.16",1.24
Rockyvale Gr NW 1,21,"$1,060,000.00","$1,075,759.00","-$15,758.81",-1.49
Rockyvalley Dr NW 1,11307,"$513,500.00","$508,053.20","$5,446.79",1.06
Rockyvalley Dr NW 1,11367,"$514,000.00","$506,476.80","$7,523.16",1.46
Rockyvalley Dr NW 1,11351,"$463,500.00","$484,210.50","-$20,710.50",-4.47
Rockyvalley Dr NW 1,11311,"$495,000.00","$484,463.80","$10,536.16",2.13
Rockyvalley Dr NW 1,11327,"$482,500.00","$490,684.90","-$8,184.91",-1.7
Rockyvalley Dr NW 1,11323,"$509,000.00","$509,573.30",-$573.29,-0.11
Rockyvalley Dr NW 1,11339,"$527,500.00","$533,021.90","-$5,521.92",-1.05
Rockyvalley Dr NW 1,11303,"$505,500.00","$538,708.10","-$33,208.14",-6.57
Rockyvalley Dr NW 1,11359,"$498,500.00","$504,956.80","-$6,456.76",-1.3
Rockyvalley Dr NW 1,11331,"$508,000.00","$500,818.80","$7,181.23",1.41
Rockyvalley Dr NW 1,11335,"$497,000.00","$514,274.30","-$17,274.28",-3.48
Rockyvalley Dr NW 1,11347,"$581,000.00","$513,486.10","$67,513.91",11.62
Rockyvalley Dr NW 1,11315,"$573,000.00","$523,394.80","$49,605.25",8.66
Rockyvalley Dr NW 1,11355,"$490,500.00","$496,314.80","-$5,814.83",-1.19
Rockyvalley Dr NW 1,11363,"$491,000.00","$517,877.40","-$26,877.43",-5.47
Rockyvalley Dr NW 1,11343,"$478,500.00","$498,060.10","-$19,560.10",-4.09
Rockyvalley Dr NW 1,11371,"$541,500.00","$547,124.90","-$5,624.87",-1.04
Rockyvalley Dr NW 1,11319,"$516,500.00","$514,499.50","$2,000.52",0.39
Rockyvalley Dr NW 2,11405,"$541,000.00","$574,706.30","-$33,706.28",-6.23
Rockyvalley Dr NW 2,11437,"$551,000.00","$540,996.40","$10,003.60",1.82
Rockyvalley Dr NW 2,11413,"$565,500.00","$560,221.20","$5,278.78",0.93
Rockyvalley Dr NW 2,11421,"$529,000.00","$517,386.20","$11,613.81",2.2
Rockyvalley Dr NW 2,11441,"$551,000.00","$565,271.10","-$14,271.06",-2.59
Rockyvalley Dr NW 2,11433,"$552,000.00","$550,564.50","$1,435.49",0.26
Rockyvalley Dr NW 2,11417,"$584,500.00","$563,056.20","$21,443.78",3.67
Rockyvalley Dr NW 2,11429,"$564,500.00","$525,005.20","$39,494.76",7
Rockyvalley Dr NW 2,11425,"$567,500.00","$553,886.80","$13,613.23",2.4
Rockyvalley Dr NW 2,11409,"$456,500.00","$511,406.10","-$54,906.11",-12.03
Rockyvalley Vi NW 1,20,"$347,500.00","$347,294.80",$205.22,0.06
Rockyvalley Vi NW 1,28,"$346,000.00","$346,194.00",-$194.00,-0.06
Rockyvalley Vi NW 1,24,"$346,000.00","$346,194.00",-$194.00,-0.06
Rockyvalley Vi NW 1,22,"$363,000.00","$362,992.90",$7.08,0
Rockyvalley Vi NW 1,30,"$347,500.00","$347,294.80",$205.22,0.06
Rockyvalley Vi NW 1,26,"$365,500.00","$365,529.50",-$29.51,-0.01
Valley Meadow Cl NW 1,140,"$494,000.00","$487,900.50","$6,099.51",1.23
Valley Meadow Cl NW 1,120,"$498,000.00","$482,641.80","$15,358.18",3.08
Valley Meadow Cl NW 1,124,"$454,000.00","$405,983.70","$48,016.27",10.58
Valley Meadow Cl NW 1,128,"$393,000.00","$405,465.30","-$12,465.27",-3.17
Valley Meadow Cl NW 1,152,"$471,000.00","$473,828.00","-$2,827.99",-0.6
Valley Meadow Cl NW 1,136,"$516,500.00","$497,603.10","$18,896.89",3.66
Valley Meadow Cl NW 1,144,"$444,000.00","$470,939.40","-$26,939.43",-6.07
Valley Meadow Cl NW 1,148,"$430,500.00","$459,385.20","-$28,885.16",-6.71
Valley Meadow Cl NW 1,116,"$401,000.00","$425,166.80","-$24,166.77",-6.03
Valley Meadow Cl NW 1,132,"$490,000.00","$483,086.20","$6,913.78",1.41
Valley Meadow Cl NW 2,77,"$554,500.00","$533,057.90","$21,442.12",3.87
Valley Meadow Cl NW 2,101,"$433,500.00","$549,298.20","-$115,798.22",-26.71
Valley Meadow Cl NW 2,65,"$617,500.00","$626,293.40","-$8,793.41",-1.42
Valley Meadow Cl NW 2,69,"$603,500.00","$553,398.20","$50,101.76",8.3
Valley Meadow Cl NW 2,81,"$516,000.00","$524,218.90","-$8,218.88",-1.59
Valley Meadow Cl NW 2,73,"$637,000.00","$599,989.40","$37,010.62",5.81
Valley Meadow Cl NW 2,85,"$573,000.00","$560,160.60","$12,839.39",2.24
Valley Meadow Cl NW 2,93,"$497,500.00","$486,147.30","$11,352.74",2.28
Valley Meadow Cl NW 2,97,"$438,000.00","$493,814.80","-$55,814.83",-12.74
Valley Meadow Cl NW 2,89,"$537,500.00","$481,621.30","$55,878.73",10.4
Valley Meadow Cl NW 3,88,"$517,000.00","$504,957.80","$12,042.23",2.33
Valley Meadow Cl NW 3,92,"$538,000.00","$536,535.50","$1,464.50",0.27
Valley Meadow Cl NW 3,76,"$496,500.00","$482,283.50","$14,216.46",2.86
Valley Meadow Cl NW 3,84,"$517,500.00","$538,316.20","-$20,816.20",-4.02
Valley Meadow Cl NW 3,64,"$510,500.00","$554,936.10","-$44,436.05",-8.7
Valley Meadow Cl NW 3,60,"$589,500.00","$555,767.00","$33,732.96",5.72
Valley Meadow Cl NW 3,52,"$468,000.00","$467,681.80",$318.19,0.07
Valley Meadow Cl NW 3,48,"$617,500.00","$639,697.30","-$22,197.31",-3.59
Valley Meadow Cl NW 3,80,"$507,500.00","$528,700.40","-$21,200.42",-4.18
Valley Meadow Cl NW 3,96,"$519,000.00","$479,671.90","$39,328.15",7.58
Valley Meadow Cl NW 3,56,"$480,500.00","$478,366.00","$2,134.00",0.44
Valley Meadow Cl NW 3,72,"$732,000.00","$663,677.40","$68,322.61",9.33
Valley Meadow Cl NW 3,68,"$518,500.00","$581,409.10","-$62,909.11",-12.13
